symbol	R603	R607	R614	R621
KIAA1107	1	0	0	1
GLMN	0	0	0	0
RPAP2	0	0	0	0
GFI1	1	0	0	1
EVI5	0	0	0	0
RPL5	0	0	0	0
SNORA66	0	1	1	0
FAM69A	0	0	0	0
MTF2	1	0	0	0
TMED5	0	1	0	0
CCDC18	0	0	0	0
RP4-717I23.3	0	1	0	1
DR1	0	1	0	0
FNBP1L	0	0	0	0
BCAR3	0	0	0	0
RP11-488P3.1	0	0	0	0
RP4-561L24.3	1	0	0	0
DNTTIP2	1	0	0	0
GCLM	0	0	0	0
ABCA4	0	0	0	0
ARHGAP29	0	0	0	0
RP11-148B18.4	0	0	0	0
RP11-148B18.3	0	1	0	0
ABCD3	0	0	0	0
F3	0	1	0	0
RP11-86H7.7	1	1	0	1
LINC01057	1	0	0	0
SLC44A3	0	0	0	0
CNN3	0	0	0	0
ALG14	1	0	0	0
TMEM56	0	1	1	0
RWDD3	0	1	0	0
EEF1A1P11	0	1	1	1
PTBP2	1	0	0	0
DPYD	0	0	0	0
SEC63P1	1	0	1	0
RP11-272L13.3	0	1	1	0
MIR137HG	0	0	0	0
RP5-1070A16.1	0	0	0	0
SNX7	0	0	0	0
FRRS1	0	0	0	0
AGL	0	0	0	0
RP5-884G6.2	0	0	0	0
SLC35A3	0	0	0	0
RP4-714D9.5	0	0	0	0
HIAT1	0	0	0	0
SASS6	0	0	0	0
TRMT13	0	0	0	0
LRRC39	0	0	0	1
DBT	0	0	0	0
RTCA-AS1	0	1	0	0
RTCA	0	0	0	0
CDC14A	0	0	0	0
EXTL2	0	0	0	0
RP4-549L20.3	0	1	0	0
SLC30A7	0	0	0	0
DPH5	0	0	0	0
RP11-421L21.3	0	0	0	0
COL11A1	1	1	1	1
RNPC3	0	0	0	0
AMY2B	0	1	1	0
PRMT6	1	0	0	0
VAV3	0	0	0	0
SLC25A24	0	0	0	0
FAM102B	1	1	0	0
HENMT1	0	0	0	0
PRPF38B	0	0	0	0
STXBP3	0	0	0	0
AKNAD1	1	0	0	0
SPATA42	0	0	0	1
GPSM2	0	0	0	0
